DATE,CLOSE
30/12/2022,613.7
29/12/2022,611.8
28/12/2022,601.05
27/12/2022,601.9
26/12/2022,597.1
23/12/2022,574.0
22/12/2022,593.4
21/12/2022,593.4
20/12/2022,604.45
19/12/2022,604.45
16/12/2022,603.35
15/12/2022,615.95
14/12/2022,625.5
13/12/2022,616.75
12/12/2022,613.05
09/12/2022,616.5
08/12/2022,611.65
07/12/2022,607.05
06/12/2022,608.95
05/12/2022,617.3
02/12/2022,607.55
01/12/2022,608.1
30/11/2022,602.45
29/11/2022,608.55
28/11/2022,608.6
25/11/2022,607.4
24/11/2022,609.35
23/11/2022,607.65
22/11/2022,599.1
21/11/2022,598.1
18/11/2022,602.7
17/11/2022,599.05
16/11/2022,599.75
15/11/2022,600.85
14/11/2022,592.55
11/11/2022,601.3
10/11/2022,605.75
09/11/2022,615.55
07/11/2022,614.15
04/11/2022,593.95
03/11/2022,584.9
02/11/2022,573.85
01/11/2022,576.9
31/10/2022,573.8
28/10/2022,570.75
27/10/2022,579.65
25/10/2022,578.55
24/10/2022,570.5
