DATE,CLOSE
02/05/2022,2339.5
04/05/2022,2253.8
05/05/2022,2255.4
06/05/2022,2247.7
09/05/2022,2197.65
10/05/2022,2109.5
11/05/2022,2119.3
12/05/2022,2045.2
13/05/2022,2054.15
16/05/2022,2105.9
17/05/2022,2184.85
18/05/2022,2181.1
19/05/2022,2114.75
20/05/2022,2219.55
23/05/2022,2170.65
24/05/2022,2160.2
25/05/2022,2074.15
26/05/2022,2046.4
27/05/2022,2080.15
30/05/2022,2165.65
31/05/2022,2167.55
01/06/2022,2150.9
02/06/2022,2209.4
03/06/2022,2190.0
06/06/2022,2225.05
07/06/2022,2227.55
08/06/2022,2177.2
09/06/2022,2219.2
10/06/2022,2203.1
13/06/2022,2079.75
14/06/2022,2196.45
15/06/2022,2184.6
16/06/2022,2083.0
17/06/2022,2095.8
20/06/2022,2079.85
21/06/2022,2161.8
22/06/2022,2089.2
23/06/2022,2110.35
24/06/2022,2161.45
27/06/2022,2181.6
28/06/2022,2204.6
29/06/2022,2220.1
30/06/2022,2190.9
01/07/2022,2232.2
04/07/2022,2261.85
05/07/2022,2246.45
06/07/2022,2272.85
07/07/2022,2274.3
08/07/2022,2293.05
11/07/2022,2373.25
12/07/2022,2365.65
13/07/2022,2353.5
14/07/2022,2383.1
15/07/2022,2405.25
18/07/2022,2423.6
19/07/2022,2451.3
20/07/2022,2451.1
21/07/2022,2495.5
22/07/2022,2499.4
25/07/2022,2550.6
26/07/2022,2559.7
27/07/2022,2548.7
28/07/2022,2550.4
29/07/2022,2569.2
01/08/2022,2660.15
02/08/2022,2683.65
03/08/2022,2711.4
04/08/2022,2723.6
05/08/2022,2698.4
08/08/2022,2791.9
10/08/2022,2827.2
11/08/2022,2834.05
12/08/2022,2864.55
16/08/2022,2975.85
17/08/2022,3008.65
18/08/2022,3153.65
19/08/2022,3130.2
22/08/2022,3051.6
23/08/2022,3030.65
24/08/2022,3134.65
25/08/2022,3066.35
26/08/2022,3139.55
29/08/2022,3142.6
30/08/2022,3194.35
01/09/2022,3233.25
02/09/2022,3355.8
05/09/2022,3346.55
06/09/2022,3435.8
07/09/2022,3473.75
08/09/2022,3462.8
09/09/2022,3451.2
12/09/2022,3463.8
13/09/2022,3555.8
14/09/2022,3572.1
15/09/2022,3748.7
16/09/2022,3702.2
19/09/2022,3778.65
20/09/2022,3834.55
21/09/2022,3640.1
22/09/2022,3716.3
23/09/2022,3674.3
26/09/2022,3586.2
27/09/2022,3559.1
28/09/2022,3548.75
29/09/2022,3470.7
30/09/2022,3455.75
03/10/2022,3157.3
04/10/2022,3237.7
06/10/2022,3285.0
07/10/2022,3277.6
10/10/2022,3246.25
11/10/2022,3273.95
12/10/2022,3223.65
13/10/2022,3233.65
14/10/2022,3209.5
17/10/2022,3212.6
18/10/2022,3284.3
19/10/2022,3277.25
20/10/2022,3357.1
21/10/2022,3311.9
24/10/2022,3309.8
25/10/2022,3300.5
27/10/2022,3325.0
28/10/2022,3323.3
31/10/2022,3347.45
01/11/2022,3575.7
02/11/2022,3580.7
03/11/2022,3590.4
04/11/2022,3833.25
07/11/2022,3960.6
09/11/2022,3997.2
10/11/2022,3992.25
11/11/2022,4008.85
14/11/2022,4022.55
15/11/2022,4057.8
16/11/2022,3956.6
17/11/2022,4018.15
18/11/2022,4019.8
21/11/2022,4001.85
22/11/2022,4034.0
23/11/2022,3903.3
24/11/2022,3921.1
25/11/2022,3901.1
28/11/2022,3886.15
29/11/2022,3878.4
30/11/2022,3917.9
01/12/2022,3915.1
02/12/2022,3922.5
05/12/2022,3930.4
06/12/2022,4031.8
07/12/2022,3999.3
08/12/2022,4025.0
09/12/2022,3996.8
12/12/2022,4016.7
13/12/2022,4060.2
14/12/2022,4055.8
15/12/2022,4043.75
16/12/2022,3980.8
19/12/2022,4075.3
20/12/2022,4165.3
21/12/2022,3901.95
22/12/2022,3868.55
23/12/2022,3642.2
26/12/2022,3716.75
27/12/2022,3769.65
28/12/2022,3797.7
29/12/2022,3810.6
30/12/2022,3858.35
02/01/2023,3841.2
03/01/2023,3830.95
04/01/2023,3827.05
05/01/2023,3829.8
06/01/2023,3824.25
09/01/2023,3855.3
10/01/2023,3646.9
11/01/2023,3635.8
12/01/2023,3647.2
13/01/2023,3721.15
16/01/2023,3619.8
17/01/2023,3639.35
18/01/2023,3596.7
19/01/2023,3463.55
20/01/2023,3456.15
23/01/2023,3436.35
24/01/2023,3442.0
25/01/2023,3388.95
27/01/2023,2761.45
30/01/2023,2892.85
31/01/2023,2973.9
01/02/2023,2135.35
02/02/2023,1565.25
03/02/2023,1586.8
06/02/2023,1572.7
07/02/2023,1802.95
08/02/2023,2164.25
09/02/2023,1925.7
10/02/2023,1846.95
13/02/2023,1717.65
14/02/2023,1749.7
15/02/2023,1779.1
16/02/2023,1796.6
17/02/2023,1722.7
20/02/2023,1621.45
21/02/2023,1571.1
22/02/2023,1404.85
23/02/2023,1382.65
24/02/2023,1315.65
27/02/2023,1193.5
28/02/2023,1363.85
01/03/2023,1564.3
02/03/2023,1607.25
03/03/2023,1879.5
06/03/2023,1982.9
08/03/2023,2039.65
09/03/2023,1953.15
10/03/2023,1896.2
13/03/2023,1874.4
14/03/2023,1738.2
15/03/2023,1839.0
16/03/2023,1843.8
17/03/2023,1876.55
20/03/2023,1804.95
21/03/2023,1824.25
22/03/2023,1815.4
23/03/2023,1794.0
24/03/2023,1740.65
27/03/2023,1723.05
28/03/2023,1600.85
29/03/2023,1740.4
31/03/2023,1750.45
03/04/2023,1717.45
05/04/2023,1698.0
06/04/2023,1754.05
10/04/2023,1797.25
11/04/2023,1803.15
12/04/2023,1847.25
13/04/2023,1870.75
17/04/2023,1878.75
18/04/2023,1850.95
19/04/2023,1853.85
20/04/2023,1842.9
21/04/2023,1803.0
24/04/2023,1801.95
25/04/2023,1844.6
26/04/2023,1847.9
27/04/2023,1853.05
28/04/2023,1924.95
02/05/2023,1919.85
03/05/2023,1839.0
04/05/2023,1911.25
05/05/2023,1920.3
08/05/2023,1887.5
09/05/2023,1896.1
10/05/2023,1892.15
11/05/2023,1984.65
12/05/2023,1964.7
15/05/2023,1916.05
16/05/2023,1889.15
17/05/2023,1899.5
18/05/2023,1890.0
19/05/2023,1956.05
22/05/2023,2326.1
23/05/2023,2633.7
24/05/2023,2475.6
25/05/2023,2537.45
26/05/2023,2544.35
29/05/2023,2534.05
30/05/2023,2496.45
31/05/2023,2493.35
01/06/2023,2492.15
02/06/2023,2445.05
05/06/2023,2433.95
06/06/2023,2433.65
07/06/2023,2439.55
08/06/2023,2429.15
09/06/2023,2451.15
12/06/2023,2484.8
13/06/2023,2462.55
14/06/2023,2457.15
15/06/2023,2485.65
16/06/2023,2509.6
19/06/2023,2401.4
20/06/2023,2414.8
21/06/2023,2405.95
22/06/2023,2397.25
23/06/2023,2233.55
26/06/2023,2295.6
27/06/2023,2284.45
28/06/2023,2402.0
30/06/2023,2388.05
03/07/2023,2385.5
04/07/2023,2387.7
05/07/2023,2399.15
06/07/2023,2402.9
07/07/2023,2379.6
10/07/2023,2410.25
11/07/2023,2422.9
12/07/2023,2387.9
13/07/2023,2362.05
14/07/2023,2376.1
17/07/2023,2408.55
18/07/2023,2416.9
19/07/2023,2423.75
20/07/2023,2419.75
21/07/2023,2416.3
24/07/2023,2418.2
25/07/2023,2466.65
26/07/2023,2470.75
27/07/2023,2428.4
28/07/2023,2463.2
31/07/2023,2492.2
01/08/2023,2481.1
02/08/2023,2473.55
03/08/2023,2532.6
04/08/2023,2541.8
07/08/2023,2550.5
08/08/2023,2474.55
09/08/2023,2507.1
10/08/2023,2552.4
11/08/2023,2539.5
14/08/2023,2456.0
16/08/2023,2445.1
17/08/2023,2479.7
18/08/2023,2577.4
21/08/2023,2639.75
22/08/2023,2698.05
23/08/2023,2530.3
24/08/2023,2539.55
25/08/2023,2495.75
28/08/2023,2472.45
29/08/2023,2506.45
30/08/2023,2513.1
31/08/2023,2419.25
01/09/2023,2450.05
04/09/2023,2470.6
05/09/2023,2494.05
06/09/2023,2496.5
07/09/2023,2509.5
08/09/2023,2519.3
11/09/2023,2614.95
12/09/2023,2535.7
13/09/2023,2518.9
14/09/2023,2519.8
15/09/2023,2540.05
18/09/2023,2502.45
20/09/2023,2470.3
21/09/2023,2479.25
22/09/2023,2464.9
25/09/2023,2482.1
26/09/2023,2457.95
27/09/2023,2483.3
28/09/2023,2475.25
29/09/2023,2413.9
03/10/2023,2387.25
04/10/2023,2464.95
05/10/2023,2466.35
06/10/2023,2478.1
09/10/2023,2442.6
10/10/2023,2498.3
